-13.20,-11.74,-13.15,50.18,-14.98,-20.69,-38.68,-9.56,-4.65,-2.69,-11.49,-11.55,46.84,-12.43,-14.24,-33.74,-8.93,-1.20,
-13.05,-10.35,-11.61,50.16,-14.97,-20.66,-38.65,-9.55,-4.63,-2.66,-11.49,-11.54,46.86,-12.44,-14.27,-33.77,-8.93,-1.22,
-12.68,-8.19,-9.23,50.11,-14.93,-20.55,-38.59,-9.54,-4.57,-2.58,-11.49,-11.54,46.92,-12.47,-14.36,-33.85,-8.94,-1.27,
-11.97,-5.49,-6.26,50.03,-14.84,-20.36,-38.46,-9.52,-4.47,-2.43,-11.48,-11.53,47.01,-12.53,-14.52,-33.99,-8.95,-1.35,
-10.88,-2.53,-3.00,49.89,-14.72,-20.06,-38.26,-9.48,-4.31,-2.20,-11.48,-11.52,47.16,-12.62,-14.77,-34.21,-8.97,-1.48,
-9.37,0.42,0.21,49.71,-14.55,-19.65,-37.99,-9.44,-4.09,-1.89,-11.47,-11.50,47.37,-12.75,-15.11,-34.51,-9.00,-1.67,
-7.46,3.06,3.07,49.48,-14.34,-19.15,-37.64,-9.38,-3.82,-1.50,-11.47,-11.48,47.62,-12.91,-15.55,-34.88,-9.03,-1.90,
-5.20,5.16,5.33,49.20,-14.10,-18.58,-37.23,-9.32,-3.51,-1.04,-11.46,-11.47,47.91,-13.11,-16.08,-35.32,-9.08,-2.18,
-2.67,6.50,6.77,48.89,-13.85,-17.95,-36.78,-9.25,-3.17,-0.53,-11.46,-11.46,48.23,-13.34,-16.67,-35.79,-9.13,-2.49,
0.00,6.97,7.27,48.56,-13.59,-17.30,-36.29,-9.19,-2.83,-0.00,-11.46,-11.46,48.56,-13.59,-17.30,-36.29,-9.19,-2.83,
2.67,6.50,6.77,48.23,-13.34,-16.67,-35.79,-9.13,-2.49,0.53,-11.46,-11.46,48.89,-13.85,-17.95,-36.78,-9.25,-3.17,
5.20,5.16,5.33,47.91,-13.11,-16.08,-35.32,-9.08,-2.18,1.04,-11.46,-11.47,49.20,-14.10,-18.58,-37.23,-9.32,-3.51,
7.46,3.06,3.07,47.62,-12.91,-15.55,-34.88,-9.03,-1.90,1.50,-11.47,-11.48,49.48,-14.34,-19.15,-37.64,-9.38,-3.82,
9.37,0.42,0.21,47.37,-12.75,-15.11,-34.51,-9.00,-1.67,1.89,-11.47,-11.50,49.71,-14.55,-19.65,-37.99,-9.44,-4.09,
10.88,-2.53,-3.00,47.16,-12.62,-14.77,-34.21,-8.97,-1.48,2.20,-11.48,-11.52,49.89,-14.72,-20.06,-38.26,-9.48,-4.31,
11.97,-5.49,-6.26,47.01,-12.53,-14.52,-33.99,-8.95,-1.35,2.43,-11.48,-11.53,50.03,-14.84,-20.35,-38.46,-9.52,-4.47,
12.68,-8.19,-9.23,46.92,-12.47,-14.36,-33.85,-8.94,-1.27,2.58,-11.49,-11.54,50.11,-14.93,-20.55,-38.59,-9.54,-4.57,
